GameNumber,Inaccuracies,Mistakes,Blunder,AvgSPLoss,accuracy%
1,6,3,1,108.25,60.34
2,3,5,1,67.35,78.17
3,2,3,2,126.64,70.06
4,1,4,1,98.25,66.79
5,3,5,0,90.77,74.28
6,0,5,1,128.33,62.59
7,7,11,1,117.0,68.96
8,6,3,1,66.81,77.19
9,9,10,2,74.49,81.34
10,1,2,2,104.64,65.87
11,5,3,1,78.21,70.46
12,2,5,1,141.44,68.96
13,5,3,2,93.95,66.41
14,4,5,2,110.62,73.71
15,2,6,2,114.05,61.86
16,6,5,1,111.83,71.31
17,4,7,1,106.21,74.42
18,12,7,1,71.97,76.66
19,7,4,2,99.95,72.26
20,1,4,4,162.25,66.44
21,4,3,1,80.5,66.75
22,4,11,1,96.79,80.12
23,4,8,0,89.78,79.52
24,7,8,1,104.62,76.95
25,1,2,0,64.0,75.8
26,4,7,2,95.36,73.1
27,3,3,2,152.82,67.33
28,2,0,2,156.43,61.05
29,2,2,2,126.5,59.87
30,4,5,1,84.71,68.38
31,3,6,1,107.25,70.8
32,6,4,1,63.77,78.37
33,6,3,2,108.2,72.58
34,5,6,2,138.35,69.64
35,6,3,1,80.67,76.59
36,2,2,2,176.29,64.08
37,7,5,1,111.8,77.07
38,3,10,1,109.21,70.77
39,7,3,2,90.76,77.27
40,14,4,1,45.61,87.82
41,8,3,2,93.41,74.24
42,1,3,1,98.0,72.11
43,5,4,1,101.67,58.32
44,5,7,2,99.96,78.52
45,7,6,1,74.58,78.18
46,2,4,2,129.58,64.58
47,8,7,1,101.29,75.31
48,4,5,3,152.94,68.85
49,8,10,1,81.94,79.01
50,2,8,1,102.56,70.31
51,6,2,2,78.5,74.76
52,8,8,0,93.2,82.48
53,2,3,1,90.15,68.7
54,4,4,1,74.37,73.59
55,1,6,1,113.07,67.99
56,7,6,1,85.72,78.38
57,2,4,1,121.92,65.0
58,9,4,2,85.74,78.68
59,8,8,2,120.96,69.53
60,3,2,1,94.46,65.53
61,3,8,1,97.77,79.16
62,4,4,1,92.07,73.59
63,2,7,2,127.65,66.89
64,4,1,1,76.33,67.52
65,5,7,1,89.24,78.42
66,2,4,1,139.09,71.64
67,5,5,2,92.57,82.98
68,10,6,1,76.7,79.43
69,1,4,3,93.68,70.43
70,12,6,1,84.03,76.53
71,1,7,2,131.24,66.64
72,6,6,1,97.2,73.85
73,0,6,3,235.36,57.59
74,4,1,1,67.3,70.67
75,10,2,1,70.85,77.23
76,6,2,1,105.71,67.43
77,1,6,2,169.9,67.71
78,6,5,1,70.23,79.77
79,3,5,1,97.44,74.48
80,5,5,1,101.35,58.81
81,3,7,1,132.94,69.33
82,0,4,1,124.6,67.48
83,5,5,1,91.09,76.15
84,2,2,0,70.25,74.25
85,4,6,1,85.24,77.39
86,1,4,2,119.21,70.54
87,7,9,1,113.24,74.07
88,1,5,1,79.55,74.96
89,8,5,1,70.93,79.95
90,2,7,1,98.71,74.41
91,4,6,1,100.83,69.34
92,4,9,0,77.7,82.88
93,2,2,1,92.86,68.03
94,5,3,1,88.72,75.88
95,3,3,2,120.44,71.17
96,5,4,2,77.67,74.53
97,2,7,2,111.71,74.85
98,1,2,2,195.38,50.4
99,4,6,1,106.8,66.23
100,5,7,1,107.86,79.09
