GameNumber,Inaccuracies,Mistakes,Blunder,AvgSPLoss,accuracy%
1,3,4,1,54.67,78.95
2,5,9,1,67.15,78.16
3,4,1,1,49.65,74.73
4,5,6,2,103.52,75.99
5,7,11,1,104.26,74.45
6,2,3,1,64.33,77.38
7,4,9,1,77.65,80.4
8,14,7,1,68.08,82.75
9,4,4,1,77.47,75.89
10,5,6,2,90.5,78.79
11,5,4,2,97.71,69.8
12,5,5,4,85.3,80.11
13,2,8,1,99.0,76.87
14,8,10,0,65.28,82.72
15,16,5,1,64.51,81.6
16,1,9,1,66.3,81.19
17,7,8,2,95.84,76.55
18,4,4,2,66.4,79.18
19,8,2,2,63.15,75.23
20,6,4,1,67.55,80.88
21,11,9,3,73.78,81.13
22,7,13,1,75.13,79.91
23,9,10,0,59.38,88.61
24,2,2,1,67.0,73.9
25,6,4,1,71.05,81.11
26,6,10,1,63.95,77.9
27,12,8,2,74.39,82.31
28,7,7,1,70.78,79.4
29,3,3,2,81.71,71.73
30,8,13,1,69.23,83.98
31,4,10,1,69.63,85.64
32,10,10,1,76.78,81.34
33,7,5,2,70.76,80.31
34,5,9,1,81.78,82.47
35,9,15,2,85.82,82.77
36,6,15,1,94.44,75.91
37,6,4,1,73.75,73.29
38,2,2,3,104.65,63.52
39,9,6,2,72.28,77.05
40,3,8,1,70.77,77.95
41,2,4,2,65.79,79.78
42,8,3,1,61.7,84.33
43,2,2,0,63.4,70.21
44,4,3,0,58.41,79.09
45,6,8,2,92.25,81.0
46,8,7,1,69.34,79.08
47,6,16,0,83.34,83.51
48,2,4,3,108.67,68.01
49,7,14,0,83.4,80.27
50,9,10,1,73.46,79.96
51,6,4,1,74.92,76.79
52,8,3,2,70.32,80.13
53,6,12,3,101.9,72.36
54,4,8,1,79.35,74.38
55,3,7,2,64.69,84.08
56,7,11,0,77.44,78.54
57,3,5,1,90.62,74.0
58,11,8,0,64.54,85.37
59,15,5,2,76.64,80.95
60,3,7,0,80.81,79.36
61,7,7,3,84.75,73.12
62,16,9,1,66.11,78.72
63,5,5,1,92.53,69.11
64,2,4,1,92.45,69.26
65,4,7,0,74.04,80.91
66,5,5,2,85.12,80.28
67,5,14,2,97.97,80.97
68,12,9,1,80.57,79.65
69,11,9,2,93.0,64.23
70,5,4,2,105.22,70.57
71,4,13,1,86.4,58.73
72,11,7,1,64.92,82.9
73,18,13,1,63.34,84.91
74,5,7,1,81.52,76.08
75,4,6,1,63.0,75.44
76,15,13,1,63.83,84.6
77,4,3,1,77.05,75.6
78,9,2,2,56.11,75.99
79,5,8,2,92.34,77.7
80,4,9,1,65.55,81.73
81,8,9,1,79.47,81.66
82,10,7,2,76.14,81.97
83,4,7,1,102.78,77.55
84,7,12,2,78.0,82.94
85,8,9,1,74.24,78.85
86,10,14,0,43.17,88.8
87,12,11,1,68.92,82.62
88,7,4,1,62.06,84.58
89,8,9,1,88.97,76.05
90,2,9,1,97.78,74.11
91,8,9,1,61.54,84.46
92,7,4,0,43.27,87.24
93,3,1,2,56.44,81.46
94,8,8,1,94.67,78.26
95,4,9,1,84.19,75.08
96,5,8,1,80.69,84.25
97,1,0,1,55.25,71.81
98,6,8,0,74.89,79.27
99,6,9,2,81.87,78.79
100,5,9,1,81.23,80.91
