GameNumber,Inaccuracies,Mistakes,Blunder,AvgSPLoss,accuracy%
1,5,6,1,61.74,81.41
2,7,8,1,74.67,77.35
3,3,2,1,71.79,74.31
4,11,6,1,74.62,79.81
5,9,3,2,85.43,76.07
6,4,1,1,113.55,55.92
7,7,7,0,79.56,80.45
8,13,7,1,73.29,76.87
9,5,3,1,53.86,83.14
10,5,4,1,62.52,79.14
11,9,4,2,87.33,68.52
12,4,1,2,85.78,70.29
13,2,6,2,68.72,81.27
14,7,3,1,68.73,76.79
15,4,3,1,60.88,76.4
16,4,1,1,53.27,75.31
17,8,6,1,62.68,81.38
18,10,8,1,70.62,80.12
19,11,8,0,45.75,88.3
20,5,3,2,94.84,64.94
21,6,3,2,81.79,64.01
22,4,9,0,68.48,84.15
23,7,6,1,78.07,76.04
24,2,4,1,79.42,71.14
25,5,4,1,49.67,82.86
26,12,8,1,65.5,79.17
27,6,5,1,62.68,74.73
28,6,11,0,94.07,74.89
29,12,3,2,65.63,82.02
30,3,3,0,43.97,87.03
31,4,6,1,90.42,63.18
32,7,8,1,67.7,82.7
33,6,7,2,98.58,75.73
34,7,2,1,66.32,75.25
35,2,12,1,90.46,78.32
36,3,2,2,91.65,64.26
37,11,10,1,82.54,81.57
38,5,7,1,77.04,74.85
39,1,7,1,69.04,80.91
40,11,5,1,67.66,81.02
41,7,4,1,54.08,80.17
42,4,8,0,78.77,80.36
43,7,4,1,70.35,78.86
44,3,7,3,81.75,72.9
45,5,6,1,69.68,78.73
46,9,6,1,75.36,64.21
47,5,7,0,55.43,83.48
48,3,7,1,84.86,78.52
49,1,6,1,93.94,67.68
50,8,5,3,83.79,70.36
51,5,0,2,72.15,72.87
52,7,10,2,92.47,72.74
53,2,4,1,68.52,73.77
54,2,0,0,34.67,86.73
55,6,9,0,87.12,79.8
56,3,7,2,85.32,82.41
57,15,8,2,77.42,76.81
58,2,0,0,23.0,90.17
59,7,2,1,55.33,76.66
60,3,5,0,43.82,84.66
61,3,5,0,52.29,81.78
62,9,6,3,101.4,63.83
63,6,9,2,78.41,79.18
64,5,6,1,50.61,84.06
65,4,7,1,91.69,75.97
66,7,8,1,77.53,73.44
67,9,2,2,70.5,75.57
68,2,8,1,100.18,73.46
69,2,1,0,33.5,85.34
70,4,13,2,92.59,73.42
71,9,7,1,50.06,86.83
72,8,8,0,66.93,81.59
73,7,3,2,54.25,79.57
74,3,2,1,98.58,67.54
75,11,5,2,72.97,77.44
76,13,7,0,57.51,84.45
77,6,8,1,64.56,81.07
78,8,11,2,95.18,78.78
79,4,9,2,101.06,63.36
80,7,5,1,68.5,75.81
81,6,8,1,77.69,79.27
82,3,1,2,68.05,70.16
83,9,4,2,68.84,77.6
84,3,0,1,99.47,37.38
85,3,3,3,99.53,63.62
86,4,5,3,97.9,78.45
87,6,4,1,68.29,71.67
88,3,5,3,99.65,65.65
89,3,5,3,78.03,72.83
90,4,0,1,67.25,72.37
91,2,6,1,56.97,81.88
92,6,8,1,62.21,82.25
93,0,3,3,140.38,55.33
94,7,6,1,71.44,63.42
95,6,8,0,65.72,78.99
96,6,5,1,68.39,79.67
97,11,7,1,79.27,78.04
98,6,6,1,68.59,75.95
99,3,12,0,66.93,80.41
100,17,4,1,55.83,79.87
