GameNumber,Inaccuracies,Mistakes,Blunder,AvgSPLoss,accuracy%
1,7,7,3,84.49,76.18
2,1,2,2,66.69,76.94
3,5,7,1,69.71,80.01
4,13,3,1,46.38,84.68
5,6,5,1,72.04,78.98
6,12,8,1,70.04,78.94
7,7,12,0,62.95,80.84
8,3,7,1,67.13,81.37
9,7,9,1,79.15,78.83
10,5,0,0,32.33,85.68
11,3,10,0,67.24,79.03
12,1,3,1,68.43,69.97
13,7,6,1,52.71,81.19
14,12,10,0,75.61,75.38
15,12,6,1,60.5,83.17
16,5,5,0,68.11,76.96
17,4,10,0,55.05,83.92
18,6,5,1,83.23,74.49
19,6,4,3,99.61,61.84
20,8,5,1,50.77,84.65
21,7,2,3,84.78,66.8
22,7,8,1,72.49,71.87
23,6,10,1,95.43,69.54
24,11,4,2,76.68,71.33
25,7,0,2,54.77,81.63
26,8,8,2,90.12,72.17
27,8,5,2,104.67,72.2
28,9,9,1,70.38,73.47
29,9,5,1,54.37,84.01
30,7,10,1,63.98,86.82
31,2,4,3,81.71,71.51
32,4,3,3,84.89,71.48
33,7,6,1,71.77,74.11
34,9,5,2,72.53,75.84
35,8,9,1,82.14,79.94
36,9,10,1,77.0,79.14
37,4,9,1,85.93,74.76
38,4,7,1,59.8,83.15
39,8,3,3,49.49,83.05
40,6,2,3,99.56,61.53
41,4,7,1,69.04,77.08
42,4,6,1,83.27,71.22
43,8,2,1,63.58,78.93
44,4,3,1,66.1,75.77
45,8,7,1,56.87,77.9
46,6,3,2,82.09,70.47
47,4,6,1,72.73,76.08
48,6,5,1,67.96,81.65
49,3,6,1,91.19,66.46
50,5,4,4,106.36,52.12
51,18,9,2,65.64,77.43
52,6,9,2,95.77,68.67
53,6,11,1,98.48,72.93
54,3,3,1,80.76,73.95
55,9,5,2,108.57,64.57
56,0,3,1,71.33,71.75
57,6,10,3,117.77,65.3
58,5,6,0,68.4,78.25
59,8,5,1,63.07,80.9
60,1,3,0,54.92,78.22
61,9,3,1,57.38,80.71
62,12,1,1,62.47,77.87
63,2,7,1,52.23,82.17
64,2,3,1,94.67,58.91
65,7,7,1,85.35,76.5
66,6,7,1,87.41,78.23
67,7,5,1,78.26,73.08
68,1,6,0,90.93,70.47
69,10,6,2,78.94,74.7
70,7,14,0,71.88,80.25
71,2,4,1,142.09,41.24
72,3,6,2,102.15,65.93
73,10,3,2,62.63,81.1
74,8,5,1,64.0,78.71
75,15,7,1,37.08,86.46
76,13,10,2,63.56,82.89
77,5,4,2,61.97,78.75
78,8,5,0,47.54,84.11
79,7,3,1,57.96,80.39
80,7,4,1,62.74,78.6
81,5,9,1,80.29,72.45
82,3,5,1,64.24,77.52
83,1,1,1,63.0,69.96
84,11,5,2,79.45,76.57
85,3,3,3,61.87,76.39
86,4,7,1,53.7,83.48
87,8,4,1,75.86,72.11
88,7,4,1,44.02,84.66
89,4,2,1,67.29,79.83
90,3,9,0,88.62,77.83
91,4,3,1,91.65,66.53
92,9,9,2,61.8,75.62
93,7,2,1,70.82,72.98
94,2,5,2,85.52,71.96
95,6,5,1,58.93,79.51
96,2,1,2,112.0,52.55
97,10,13,1,70.92,78.23
98,6,6,2,69.43,75.78
99,5,5,2,82.33,74.33
100,2,4,1,93.44,68.11
