GameNumber,Inaccuracies,Mistakes,Blunder,AvgSPLoss,accuracy%
1,4,5,1,65.76,77.85
2,11,7,1,57.64,81.62
3,2,7,1,75.22,71.57
4,8,4,2,82.88,76.91
5,4,7,1,87.86,68.48
6,6,9,0,71.85,79.89
7,6,6,0,59.15,83.88
8,8,10,1,82.79,77.2
9,3,2,1,50.1,73.23
10,9,13,2,73.25,78.27
11,5,8,0,74.42,80.36
12,9,11,0,89.0,78.41
13,7,4,1,58.12,76.62
14,5,3,2,98.71,70.96
15,8,7,1,80.48,78.19
16,5,4,1,91.67,76.03
17,8,4,2,76.32,81.28
18,5,8,0,74.12,78.36
19,6,6,0,64.79,82.12
20,7,8,1,77.72,76.05
21,4,4,1,53.1,82.12
22,3,7,0,93.3,72.44
23,12,10,2,81.76,77.31
24,9,3,1,47.65,79.73
25,7,4,2,65.38,77.89
26,10,6,1,71.44,77.19
27,9,6,1,68.69,77.27
28,3,4,0,55.05,79.08
29,2,5,1,92.29,74.01
30,4,7,1,88.12,76.41
31,4,4,0,55.45,81.89
32,14,9,2,68.35,86.76
33,5,4,1,63.24,74.86
34,3,3,4,133.0,48.48
35,5,6,1,66.8,81.85
36,10,7,1,78.79,79.61
37,10,12,1,94.56,80.84
38,8,3,1,60.03,81.9
39,4,6,0,62.35,78.55
40,4,4,1,50.97,84.21
41,3,6,0,68.38,76.05
42,7,5,1,66.59,82.36
43,6,6,1,84.45,77.98
44,10,7,1,63.21,80.03
45,10,4,2,82.24,71.29
46,4,5,3,73.0,72.29
47,5,2,1,85.0,65.68
48,7,13,1,81.56,83.23
49,8,11,1,77.47,77.77
50,8,11,1,71.42,76.63
51,4,8,1,85.85,79.28
52,5,4,2,94.79,75.78
53,7,4,1,63.93,79.96
54,4,4,5,87.47,73.05
55,9,13,2,81.21,77.51
56,4,5,1,94.45,74.06
57,2,5,1,91.38,69.39
58,4,6,2,84.92,75.82
59,3,6,1,82.04,74.49
60,6,13,2,99.36,78.21
61,7,8,0,76.07,78.29
62,5,5,1,55.6,72.58
63,4,4,1,72.55,74.86
64,6,5,1,67.07,75.9
65,3,5,1,59.33,82.48
66,2,2,0,48.82,76.91
67,3,6,2,99.62,65.6
68,5,9,2,76.86,76.01
69,4,2,1,89.23,64.61
70,6,7,1,75.41,77.07
71,4,9,1,68.04,82.3
72,5,2,2,76.86,78.31
73,1,7,2,82.27,73.36
74,0,5,0,59.0,74.14
75,0,5,1,87.7,73.88
76,2,7,1,74.17,75.0
77,7,9,1,91.5,75.03
78,5,5,3,86.45,67.7
79,13,10,0,61.44,86.01
80,6,8,2,64.0,76.55
81,14,6,3,79.07,79.38
82,2,4,1,63.05,78.49
83,11,10,2,83.44,79.38
84,7,5,3,82.32,72.76
85,11,12,0,72.1,83.06
86,5,5,1,79.85,71.17
87,7,3,1,70.94,62.23
88,7,11,1,80.42,80.65
89,7,4,3,73.45,73.21
90,4,4,1,64.64,79.5
91,4,8,2,95.58,78.13
92,3,12,2,108.06,63.01
93,2,3,1,68.56,76.08
94,12,8,1,64.35,85.22
95,1,7,2,95.04,70.94
96,18,3,2,54.35,81.29
97,4,5,2,73.33,81.53
98,8,7,1,54.87,87.11
99,8,11,0,97.44,76.37
100,2,8,1,85.81,73.25
